firstName,lastName,matchName,nationality,nationalityId,position,type,dateOfBirth,countryOfBirth,countryOfBirthId,shirtNumber,status,active,statsperform_id,opta_id,stats_id,placeOfBirth,height,foot,weight
Laurent,Depoitre,L. Depoitre,Belgium,4wbzjcclyefma1ourvjsu4q2j,Attacker,player,12/7/1988,Belgium,4wbzjcclyefma1ourvjsu4q2j,29,active,yes,b9wew8z92aj36vvxfj3q7kxcl,147303,602150,Tournai,191,right,91
Jordan Rolly,Botaka,J. Botaka,Congo DR,6xq2smnxqvc5bh7vzza9ljiy9,Midfielder,player,6/24/1993,Congo DR,6xq2smnxqvc5bh7vzza9ljiy9,7,active,no,bbwqcce4tjw5dceh5vtgfrljp,131907,706466,Kinshasa,183,right,73
Cederick,Van Daele,C. Van Daele,Belgium,4wbzjcclyefma1ourvjsu4q2j,Defender,player,8/25/2000,Belgium,4wbzjcclyefma1ourvjsu4q2j,13,active,yes,bdtl2zd3xpjuf2qlooenvj76c,519356,1252792,,177,,63
Davy,Roef,D. Roef,Belgium,4wbzjcclyefma1ourvjsu4q2j,Goalkeeper,player,2/6/1994,Belgium,4wbzjcclyefma1ourvjsu4q2j,33,active,yes,be0ws51ws5cm9wzmcp3ozmklx,120108,565463,Rumst,187,right,84
Roman,Bezus,R. Bezus,Ukraine,315w6fk6umfzf4qvba3t55u61,Midfielder,player,9/26/1990,Ukraine,315w6fk6umfzf4qvba3t55u61,9,active,yes,bwaexnb1k2irr7rezdcll4jit,68078,615040,Kremenchuk,185,right,78
Núrio Domingos,Matias Fortuna,Núrio Fortuna,Angola,3k53bkrjx5zsxchc6e3mcd834,Defender,player,3/24/1995,Angola,3k53bkrjx5zsxchc6e3mcd834,25,active,yes,c517lc5fmsd9ugk638s2o9iad,179318,819087,Luanda,177,left,76
Franko,Andrijašević,F. Andrijašević,Croatia,37hlakrwxyuzovaeoo4sezusp,Midfielder,player,6/22/1991,Croatia,37hlakrwxyuzovaeoo4sezusp,,active,no,cex8imc02f1r89im80a1hnsgl,88177,566513,Split,188,right,81
Dino,Arslanagić,D. Arslanagić,Belgium,4wbzjcclyefma1ourvjsu4q2j,Defender,player,4/24/1993,Belgium,4wbzjcclyefma1ourvjsu4q2j,36,active,no,ck62q6vzj7as4wf06lyh9z2l1,108097,620058,Nivelles,190,right,86
Mathéo,Parmentier,M. Parmentier,Belgium,4wbzjcclyefma1ourvjsu4q2j,Midfielder,player,10/31/2002,Belgium,4wbzjcclyefma1ourvjsu4q2j,27,active,no,cla170jpyxdrigqaa86vsuiqy,509247,1227837,Anderlecht,186,right,73
Milad,Mohammadi Keshmarzi,M. Mohammadi,Iran,e53g9hr2d3kasm34uumbg8r4,Defender,player,9/29/1993,Iran,e53g9hr2d3kasm34uumbg8r4,15,active,yes,cz3jt5t4fy7zj3xsz239wtxw5,224086,872895,Tehran,178,left,79
Giorgi,Chakvetadze,G. Chakvetadze,Georgia,55mqz7j6585f2jhgfhn62lomr,Midfielder,player,8/29/1999,Georgia,55mqz7j6585f2jhgfhn62lomr,10,active,yes,dkb6yz2ffzt2z1b1l0i605889,240990,1058446,Tbilisi,183,right,78
Wouter,George,W. George,Belgium,4wbzjcclyefma1ourvjsu4q2j,Midfielder,player,3/3/2002,Belgium,4wbzjcclyefma1ourvjsu4q2j,28,active,yes,dkr81i8fhdw195l8xyexge1d6,465246,1207745,Leuven,172,right,65
Andreas,Hanche-Olsen,A. Hanche-Olsen,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Defender,player,1/17/1997,Norway,7f16iy4w8u8ogyn6pfooqwv5z,21,active,yes,dnt7ahwfj8endqngxwfll1tjp,209020,960192,,185,right,82
Elisha,Owusu,E. Owusu,France,7gww28djs405rfga69smki84o,Midfielder,player,11/7/1997,France,7gww28djs405rfga69smki84o,6,active,yes,ebx4h86svfnvegspalqgxqfah,247389,952426,Montreuil,182,right,62
René,Vanden Borre,R. Vanden Borre,Belgium,4wbzjcclyefma1ourvjsu4q2j,Goalkeeper,player,1/19/2004,Belgium,4wbzjcclyefma1ourvjsu4q2j,,active,no,egk6jzgyggkh62b5fokw7534k,518318,1250811,,,,
Brecht,Dejaegere,B. Dejaegere,Belgium,4wbzjcclyefma1ourvjsu4q2j,Midfielder,player,5/29/1991,Belgium,4wbzjcclyefma1ourvjsu4q2j,19,active,no,eswivc2a0iwwdly6ft8eh0ogl,86383,556813,Handzame,174,right,
Michael,Ngadeu-Ngadjui,M. Ngadeu-Ngadjui,Cameroon,4eb9feio6u267dd1jcwaf38mt,Defender,player,11/23/1990,Cameroon,4eb9feio6u267dd1jcwaf38mt,5,active,yes,etos5xv3v2ptiktdk5yuhrjkl,192470,924246,Maroua,190,right,87
Yonas,Malede,Y. Malede,Israel,4bnqn6mt5vyslpxfuqdrcmpgp,Attacker,player,11/14/1999,Israel,4bnqn6mt5vyslpxfuqdrcmpgp,23,active,yes,evktllmp3l6mfb6o4im0ag0ve,446792,1144681,Kiryat Bialik,,right,
Bruno,Godeau,B. Godeau,Belgium,4wbzjcclyefma1ourvjsu4q2j,Defender,player,5/10/1992,Belgium,4wbzjcclyefma1ourvjsu4q2j,31,active,yes,eyvf8uu7jltbzalaov3qt1w5,120107,679779,Brussel,190,left,85
Giorgi,Kvilitaia,G. Kvilitaia,Georgia,55mqz7j6585f2jhgfhn62lomr,Attacker,player,10/1/1993,Georgia,55mqz7j6585f2jhgfhn62lomr,13,active,no,f5bvp357xwfostjz7kkqvzt1x,175794,916098,Abasha,193,right,
Marciano,Aziz,M. Aziz,Belgium,4wbzjcclyefma1ourvjsu4q2j,Midfielder,player,7/13/2001,Belgium,4wbzjcclyefma1ourvjsu4q2j,20,active,no,166xiuq5kyfcrloue88mirm22,501639,1168060,Eupen,172,,
Mamadou,Koné,M. Koné,Côte d'Ivoire,tin6kf561ywonqan0mettr98,Attacker,player,12/25/1991,Côte d'Ivoire,tin6kf561ywonqan0mettr98,77,active,yes,16qat5vtngnl21zg5q7i4ij9,107604,623384,Bingerville,176,right,69
Isaac,Nuhu,I. Nuhu,Ghana,2q2sw72utw5gu9t5y4knckwba,Midfielder,player,9/30/2001,Ghana,2q2sw72utw5gu9t5y4knckwba,29,active,yes,1ekfu3u2d9vh73lw2dzdcr1wq,501642,1097445,,171,,
Tyreek,Magee,T. Magee,Jamaica,gimxu1vjwoa2xrecyd9gtyoc,Midfielder,player,10/27/1999,Jamaica,gimxu1vjwoa2xrecyd9gtyoc,,active,yes,1s48glvpagsxfh15j8ilh0fai,485709,1169646,Kingston,,both,
Tom,Roufosse,T. Roufosse,Belgium,4wbzjcclyefma1ourvjsu4q2j,Goalkeeper,player,3/28/2001,Belgium,4wbzjcclyefma1ourvjsu4q2j,30,active,yes,20oiek3wd33mihfp13csvq6i2,450420,1115909,,,,
Emmanuel,Agbadou,E. Agbadou,Côte d'Ivoire,tin6kf561ywonqan0mettr98,Defender,player,6/17/1997,Côte d'Ivoire,tin6kf561ywonqan0mettr98,22,active,yes,36h87ecgmpjdltk1epsbvmiju,516939,1193493,,192,right,
Benoît Guy Jean,Poulain,B. Poulain,France,7gww28djs405rfga69smki84o,Defender,player,7/27/1987,France,7gww28djs405rfga69smki84o,6,active,yes,3bxsfsnskvwqho1hfmlfwd4np,51489,459425,Nimes,189,right,80
Julien,Fontaine Ngoy Bin Cibambi,J. Ngoy,Belgium,4wbzjcclyefma1ourvjsu4q2j,Attacker,player,11/2/1997,Belgium,4wbzjcclyefma1ourvjsu4q2j,7,active,yes,3nr55odndzunwlb658bsnlwx5,200455,949567,Antwerpen,185,right,64
Carlos,Apna Embalo,Carlos Embalo,Guinea-Bissau,5ikz7810612v7a6l5u6gxa6vm,Attacker,player,11/25/1994,Guinea-Bissau,5ikz7810612v7a6l5u6gxa6vm,17,active,no,3yi3owk5b20ekp5p7ihd34dlh,168622,754364,Bissau,175,left,72
Ortwin,De Wolf,O. De Wolf,Belgium,4wbzjcclyefma1ourvjsu4q2j,Goalkeeper,player,4/23/1997,Belgium,4wbzjcclyefma1ourvjsu4q2j,97,active,no,4114auk4o8n6higc918qymc4p,247210,975799,,190,left,73
Jordi,Amat Maas,Jordi Amat,Spain,49ih1pwv3ahshdf8uzrimi54c,Defender,player,3/21/1992,Spain,49ih1pwv3ahshdf8uzrimi54c,5,active,yes,46uy8hbh7rnez3d06piutuzmd,80789,537672,Barcelona,184,right,78
Amara,Baby,A. Baby,Senegal,6hhqyhr5cwq2pfprlazyposyk,Attacker,player,2/23/1989,France,7gww28djs405rfga69smki84o,11,active,no,4r94evpiyxyv3dkh6bk0of651,60736,533051,Le Blanc-Mesnil,183,left,68
Abdul Manaf,Nurudeen,A. Nurudeen,Ghana,2q2sw72utw5gu9t5y4knckwba,Goalkeeper,player,2/8/1999,Ghana,2q2sw72utw5gu9t5y4knckwba,33,active,yes,50iwwx11r99cvce6x8cp52c16,431252,1059002,Accra,190,right,
Adriano,Correia Claro,Adriano,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,Defender,player,10/26/1984,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,21,active,no,5j201oq8wdm5sbjg7jff66rx1,19773,348698,Curitiba,172,both,75
Jonathan Steve,Heris,J. Heris,Belgium,4wbzjcclyefma1ourvjsu4q2j,Defender,player,9/3/1990,Belgium,4wbzjcclyefma1ourvjsu4q2j,28,active,yes,5kk7seazzmcwvbs7w2gg3tuxh,204228,601798,Brussel,188,right,80
Silas,Gnaka,S. Gnaka,Côte d'Ivoire,tin6kf561ywonqan0mettr98,Defender,player,12/18/1998,Côte d'Ivoire,tin6kf561ywonqan0mettr98,24,active,yes,5kqc27jv2rs1mfa7zp4b90oh5,245784,969211,,179,left,
Théo,Defourny,T. Defourny,Belgium,4wbzjcclyefma1ourvjsu4q2j,Goalkeeper,player,4/25/1992,France,7gww28djs405rfga69smki84o,31,active,no,64b5bv8hzn77wat33vo143hsl,151305,750226,Bourg-Saint-Maurice,194,right,85
Víctor,Vázquez Solsona,Víctor Vázquez,Spain,49ih1pwv3ahshdf8uzrimi54c,Midfielder,player,1/20/1987,Spain,49ih1pwv3ahshdf8uzrimi54c,4,active,no,80fgto4ghk3gxvb4mz9hdretx,49841,442148,Barcelona,180,right,78
Sibiry,Keita,S. Keita,Mali,d0v29nncgikdswlxpdq553zz,Midfielder,player,1/30/2001,Mali,d0v29nncgikdswlxpdq553zz,13,active,yes,8nsdqb2qsmvxog6qeioaoe5be,477239,1165119,,173,left,
Konan Ignace,Jocelyn N’Dri,K. N’Dri,Côte d'Ivoire,tin6kf561ywonqan0mettr98,Attacker,player,10/27/2000,Côte d'Ivoire,tin6kf561ywonqan0mettr98,34,active,yes,8xjlysmwl5vnhcnvsynftjd62,477240,1161173,,174,,
Robin,Himmelmann,R. Himmelmann,Germany,36min0qztu8eydwvpv8t1is0m,Goalkeeper,player,2/5/1989,Germany,36min0qztu8eydwvpv8t1is0m,30,active,yes,97vse7wzd4p4mx9hlfcod87h1,54007,654763,Moers,187,right,80
Aleksandar,Boljević,A. Boljević,Montenegro,1411jebgwo2ja1erogsq81lg9,Attacker,player,12/12/1995,Montenegro,1411jebgwo2ja1erogsq81lg9,18,active,no,a1ibpks3t6lelvch5kn6u6nyt,114414,705019,Podgorica,186,right,75
Senna Malik,Miangué,S. Miangué,Congo,1s2y6o0lwj69dj5ib5pid8f6r,Defender,player,2/5/1997,Belgium,4wbzjcclyefma1ourvjsu4q2j,23,active,no,a5ls0i1ztco0zee3la61zv4rt,225776,914225,Antwerpen,192,left,81
Menno,Koch,M. Koch,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,7/2/1994,Netherlands,6hzi5pltnz67q4la8yli9qfv6,3,active,no,b4nxbfm6audv844unlocgbsgl,120266,614190,Heeze,195,right,78
Emmanuel,Sowah Adjei,E. Sowah Adjei,Ghana,2q2sw72utw5gu9t5y4knckwba,Defender,player,1/16/1998,Ghana,2q2sw72utw5gu9t5y4knckwba,25,active,yes,bsgf4tgsjmu862rewpcx62hux,228530,921020,,182,right,76
Nils,Schouterden,N. Schouterden,Belgium,4wbzjcclyefma1ourvjsu4q2j,Midfielder,player,12/14/1988,Belgium,4wbzjcclyefma1ourvjsu4q2j,18,active,no,bwudgkxxpp8tlz3xlw1rfv1lh,77389,520995,Bonheiden,176,left,66
Boris,Lambert,B. Lambert,Belgium,4wbzjcclyefma1ourvjsu4q2j,Defender,player,4/10/2000,Belgium,4wbzjcclyefma1ourvjsu4q2j,35,active,yes,c1grrjf29wtfgbni2qkydf9ey,451290,1178421,,187,right,
Smail,Prevljak,S. Prevljak,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,Attacker,player,5/10/1995,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,9,active,yes,codwa9jioox7i007f4iazwst1,192496,836014,Konjic,187,right,80
Andreas,Beck,A. Beck,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,3/13/1987,Russia,7kfg68kh6n16fs4ap3xjiudr,32,active,yes,cudqt7l0i042h1j9wj3qknhlh,31865,345724,Kemerovo,180,right,74
Rocky,Bushiri Kisonga,R. Bushiri,Belgium,4wbzjcclyefma1ourvjsu4q2j,Defender,player,11/30/1999,Belgium,4wbzjcclyefma1ourvjsu4q2j,6,active,no,cx021j1n37kzienjdgd9qndka,430856,1061311,,186,right,
Edo,Kayembe,E. Kayembe,Congo DR,6xq2smnxqvc5bh7vzza9ljiy9,Midfielder,player,6/3/1998,Congo DR,6xq2smnxqvc5bh7vzza9ljiy9,39,active,no,dgrk1cgbyk03p3e32nj4yugru,442335,1094703,Kananga,183,left,77
Gary,Magnée,G. Magnée,Belgium,4wbzjcclyefma1ourvjsu4q2j,Defender,player,10/12/1999,Belgium,4wbzjcclyefma1ourvjsu4q2j,15,active,yes,ditnpqgspoih5ich7c5vn44fe,488393,1168053,,173,right,
Jens,Cools,J. Cools,Belgium,4wbzjcclyefma1ourvjsu4q2j,Midfielder,player,10/16/1990,Belgium,4wbzjcclyefma1ourvjsu4q2j,26,active,yes,dwlqvy84dpajycrtmywyuf3dh,85695,556911,Westerlo,189,right,71
Stef,Peeters,S. Peeters,Belgium,4wbzjcclyefma1ourvjsu4q2j,Midfielder,player,2/9/1992,Belgium,4wbzjcclyefma1ourvjsu4q2j,8,active,yes,eiqmp3nbc50r40bl86u2sj55h,108994,605190,Bree,188,left,84
Knowledge,Musona,K. Musona,Zimbabwe,6pqqn8s3pvbryohnkxd4ch4kn,Midfielder,player,6/21/1990,Zimbabwe,6pqqn8s3pvbryohnkxd4ch4kn,10,active,no,f0fot1juj3i62tt8i2vybnjdh,72955,601891,Norton,177,both,68
Pierre Rames,Akono,P. Akono,Cameroon,4eb9feio6u267dd1jcwaf38mt,Midfielder,player,6/29/2000,Cameroon,4eb9feio6u267dd1jcwaf38mt,,active,yes,lyvfue51hiv98mkjnj22e6i2,467346,1147297,,182,,
Joseph Martin,Paintsil,J. Paintsil,Ghana,2q2sw72utw5gu9t5y4knckwba,Attacker,player,2/1/1998,Ghana,2q2sw72utw5gu9t5y4knckwba,11,active,no,1b6ab1mqzvhk547p0bdzbccfd,424163,973315,Accra,169,right,65
Jhon Janer,Lucumí Bonilla,J. Lucumí,Colombia,6kby8rq1p01fg5ds38ckkrcs5,Defender,player,6/26/1998,Colombia,6kby8rq1p01fg5ds38ckkrcs5,33,active,yes,3l0mj1zzhytxvm9tryvqv8kix,217532,895588,Cali,187,left,84
Daniel,Muñoz Mejía,D. Muñoz,Colombia,6kby8rq1p01fg5ds38ckkrcs5,Defender,player,5/26/1996,Colombia,6kby8rq1p01fg5ds38ckkrcs5,23,active,yes,3yb66hal4fvr04bawz0y3efhl,247348,971264,Amalfi,183,right,70
Matisse,Didden,M. Didden,Belgium,4wbzjcclyefma1ourvjsu4q2j,Defender,player,10/8/2001,Belgium,4wbzjcclyefma1ourvjsu4q2j,27,active,yes,3ypxn1nvgv8e321sq5394w3my,492979,1191917,,195,right,
Edon Lulzim,Zhegrova,E. Zhegrova,Kosovo,86u6edbqifdjsn49mbp2anw7p,Midfielder,player,3/31/1999,Germany,36min0qztu8eydwvpv8t1is0m,,active,no,4st4hurqbtyzw1tbkzuuk78fe,431128,1064233,Herford,181,left,66
András,Németh,A. Németh,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,Midfielder,player,11/9/2002,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,,active,yes,561pn6ha3pwbofjt8gbqhj0iy,488050,1196023,,182,,
Mark Alexander,McKenzie,M. McKenzie,USA,7hr2f89v44y65dyu9k92vprwn,Defender,player,2/25/1999,USA,7hr2f89v44y65dyu9k92vprwn,2,active,yes,5enjhxrx2jrjqtgb9wwq0baax,201401,989876,New York,183,left,84
Dieumerci,Ndongala,D. Ndongala,Congo DR,6xq2smnxqvc5bh7vzza9ljiy9,Attacker,player,6/14/1991,Congo DR,6xq2smnxqvc5bh7vzza9ljiy9,,active,no,5l3n8ovya7zip4koqugm8bm51,103221,818028,Kinshasa,170,right,61
Zinho,Gano,Z. Gano,Belgium,4wbzjcclyefma1ourvjsu4q2j,Attacker,player,10/13/1993,Belgium,4wbzjcclyefma1ourvjsu4q2j,93,active,no,5l6a4uxq1vzo91ugdcjq3jw7p,102658,603586,Antwerpen,193,right,86
Erik Benjamin,Nygren,B. Nygren,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Attacker,player,7/8/2001,Sweden,1z6l2c33w2kyz9rdefs1d68nb,,active,no,5uqf7a0y0fd1hf2rrmgx11tuy,449952,1116980,Gothenburg,186,left,76
Carlos Eccehomo,Cuesta Figueroa,C. Cuesta,Colombia,6kby8rq1p01fg5ds38ckkrcs5,Defender,player,3/9/1999,Colombia,6kby8rq1p01fg5ds38ckkrcs5,46,active,yes,68vmg4qgr11vppc48hs8402jt,226188,945447,Quibdó,179,right,78
Joakim,Mæhle Pedersen,J. Mæhle,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,5/20/1997,Denmark,5adf60vwiw2f2mibyq1k4ex7i,31,active,no,6lfje6glfgycun47flgmc9jvt,229220,864442,Østervrå,185,right,79
Jere Juhani,Uronen,J. Uronen,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,7/13/1994,Finland,2u07e54v5dprsugdvddpq5ync,21,active,no,6oaqk4pdojnlefa3zubsysmvp,103083,653599,Turku,177,left,69
Nordin,Jackers,N. Jackers,Belgium,4wbzjcclyefma1ourvjsu4q2j,Goalkeeper,player,9/5/1997,Belgium,4wbzjcclyefma1ourvjsu4q2j,1,active,yes,6u73l7tuxx0958ij9kvdizjrp,178960,823542,Veldwezelt,189,right,82
Casper,De Norre,C. De Norre,Belgium,4wbzjcclyefma1ourvjsu4q2j,Defender,player,2/7/1997,Belgium,4wbzjcclyefma1ourvjsu4q2j,24,active,no,73z9v9oz73hlmnswrzp860yj9,178966,899009,,175,right,75
Vic,Chambaere,V. Chambaere,Belgium,4wbzjcclyefma1ourvjsu4q2j,Goalkeeper,player,1/10/2003,Belgium,4wbzjcclyefma1ourvjsu4q2j,,active,yes,7tgp8z68rg8xkt1vyqpilysmi,493003,1189213,,,,
Ebere Paul,Onuachu,P. Onuachu,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Attacker,player,5/28/1994,Nigeria,63pvdwrsiq5b07mzi8igqei9p,18,active,yes,7wh91ajt4v3w9kfdpp5hf5mmt,147611,721997,Owerri,201,right,91
Tobe,Leysen,T. Leysen,Belgium,4wbzjcclyefma1ourvjsu4q2j,Goalkeeper,player,3/9/2002,Belgium,4wbzjcclyefma1ourvjsu4q2j,40,active,yes,7zmgaactx19n77j9fl08pahyi,492999,1126985,,179,left,83
Cyriel,Dessers,C. Dessers,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Attacker,player,12/8/1994,Belgium,4wbzjcclyefma1ourvjsu4q2j,9,active,yes,86603cyr3osksy73el0ncy7yt,180768,823543,Leuven,185,right,84
Shawn,Adewoye,S. Adewoye,Belgium,4wbzjcclyefma1ourvjsu4q2j,Defender,player,6/29/2000,Belgium,4wbzjcclyefma1ourvjsu4q2j,35,active,no,8przxwwothu3crflys7ahl4dm,460969,1126983,Nottingham,181,right,81
Luca,Oyen,L. Oyen,Belgium,4wbzjcclyefma1ourvjsu4q2j,Midfielder,player,3/14/2003,England,1fk5l4hkqk12i7zske6mcqju6,24,active,yes,8y6kxc66t4hurxuz4m4cm388a,492976,1189209,Nottingham,172,both,64
Sébastien,Dewaest,S. Dewaest,Belgium,4wbzjcclyefma1ourvjsu4q2j,Defender,player,5/27/1991,Belgium,4wbzjcclyefma1ourvjsu4q2j,6,active,no,9ma4vdnmvoog1e5pvyii3405x,166076,586154,Poperinge,188,right,91
Dries,Wouters,D. Wouters,Belgium,4wbzjcclyefma1ourvjsu4q2j,Defender,player,1/28/1997,Belgium,4wbzjcclyefma1ourvjsu4q2j,4,active,no,9svafwvk8lle1ex1m2y279905,166473,870564,Tongeren,191,left,80
Stephen Pius,Odey,S. Odey,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Attacker,player,1/15/1998,Nigeria,63pvdwrsiq5b07mzi8igqei9p,15,active,no,9yuyz4ci6wqikd6ckjstbt2i1,424835,910772,Lagos,176,right,78
Bryan,Heynen,B. Heynen,Belgium,4wbzjcclyefma1ourvjsu4q2j,Midfielder,player,2/6/1997,Belgium,4wbzjcclyefma1ourvjsu4q2j,8,active,yes,a8k3ubqsi0duc3g4u5jnvcoa1,213857,881111,,182,right,74
Patrik,Hrošovský,P. Hrošovský,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,4/22/1992,Slovakia,7dybe8679n9bgyrcxi383pq3y,17,active,yes,ama1ibpjcfu206icrfmkgfavp,108841,683373,Bojnice,172,right,68
Pierre,Dwomoh,P. Dwomoh,Belgium,4wbzjcclyefma1ourvjsu4q2j,Midfielder,player,6/21/2004,Belgium,4wbzjcclyefma1ourvjsu4q2j,80,active,yes,b81lneik0objvk15uf6m4cewa,492983,1189444,,185,right,69
Daniel,Vuković,D. Vuković,Australia,u5ieemi69z72c3bgczyy68lo,Goalkeeper,player,3/27/1985,Australia,u5ieemi69z72c3bgczyy68lo,1,active,no,bgl8h2ygh9ztbnzt79wv178ph,84648,493549,Sydney,187,right,95
Bastien,Toma,B. Toma,Switzerland,3bh70jgvc5mn58x0byjkuda17,Midfielder,player,6/24/1999,Switzerland,3bh70jgvc5mn58x0byjkuda17,11,active,yes,bid3fvgjmfnik2pegy9av3tux,430582,975531,Sitten,172,right,69
Elias,Sierra-Cappelleti,E. Sierra-Cappelleti,Belgium,4wbzjcclyefma1ourvjsu4q2j,Midfielder,player,8/25/2001,Belgium,4wbzjcclyefma1ourvjsu4q2j,16,active,no,bmbzc4jvazdiuddsbnceyauei,449873,1167603,,170,right,63
Théo,Bongonda Mbul'Ofeko Batombo,T. Bongonda,Belgium,4wbzjcclyefma1ourvjsu4q2j,Attacker,player,11/20/1995,Belgium,4wbzjcclyefma1ourvjsu4q2j,10,active,yes,bpvxqbiu11k4ivohi3798kxxx,153269,745621,Charleroi,175,left,75
Rubin,Seigers,R. Seigers,Belgium,4wbzjcclyefma1ourvjsu4q2j,Defender,player,1/11/1998,Belgium,4wbzjcclyefma1ourvjsu4q2j,14,active,no,bxcrdkrcljgx6l4o0uy4rom3t,179526,897263,,188,right,88
Adriano,Bertaccini,A. Bertaccini,Belgium,4wbzjcclyefma1ourvjsu4q2j,Attacker,player,8/13/2000,Belgium,4wbzjcclyefma1ourvjsu4q2j,,active,no,bxm1hhoqn14l6kopk32nnyktl,235073,831446,Charleroi,173,right,
Bryan Michael,Limbombe Ekango,B. Limbombe,Belgium,4wbzjcclyefma1ourvjsu4q2j,Attacker,player,5/14/2001,Belgium,4wbzjcclyefma1ourvjsu4q2j,22,active,yes,bzsoq42nf6sgdh9oe64n7rnfu,470850,1167606,Mechelen,172,right,73
Angelo Smit,Preciado Quiñónez,A. Preciado,Ecuador,6pyj2bytt2osbjk69owzfehcg,Defender,player,2/18/1998,Ecuador,6pyj2bytt2osbjk69owzfehcg,77,active,yes,c8m4ox6n1v89qbbjq73s5ezmx,423667,1050649,Shushufindi,173,right,74
Kristian,Thorstvedt,K. Thorstvedt,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,3/13/1999,Norway,7f16iy4w8u8ogyn6pfooqwv5z,42,active,yes,cc04mat3snly9oe4bt7xaeooa,445043,1114824,Stavanger,189,left,87
Mats,Møller Dæhli,M. Dæhli,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,3/2/1995,Norway,7f16iy4w8u8ogyn6pfooqwv5z,20,active,no,cdqa1j5yeh8u9ll0ijx28oyj9,112137,801960,Oslo,177,right,72
Junya,Ito,J. Ito,Japan,lxyibh89lpdc0bfian1nx0xq,Attacker,player,3/9/1993,Japan,lxyibh89lpdc0bfian1nx0xq,7,active,yes,cmrdm4nnd62inlvsnc52vkicp,207794,865975,Yokosuka,176,right,68
Gerardo Daniel,Arteaga Zamora,G. Arteaga,Mexico,5trdr3jf42i20zj1hnkvcytr6,Defender,player,9/7/1998,Mexico,5trdr3jf42i20zj1hnkvcytr6,5,active,yes,d1rgv9cgncdgr1h61phrxoc89,240065,957309,Zapopan,173,left,61
Jules Christ Eboue,Kouassi,E. Kouassi,Côte d'Ivoire,tin6kf561ywonqan0mettr98,Midfielder,player,12/13/1997,Côte d'Ivoire,tin6kf561ywonqan0mettr98,38,active,yes,dmr3lblv6081wn9egp1zpfs2x,217116,914763,Abidjan,185,right,70
Jay-Dee,Geusens,J. Geusens,Belgium,4wbzjcclyefma1ourvjsu4q2j,Midfielder,player,3/5/2002,Belgium,4wbzjcclyefma1ourvjsu4q2j,15,active,yes,e8iedufshdq58novt3uevsrqi,492964,1217149,,,,
Sekou,Diawara,S. Diawara,Belgium,4wbzjcclyefma1ourvjsu4q2j,Attacker,player,2/8/2004,Belgium,4wbzjcclyefma1ourvjsu4q2j,19,active,yes,hm6zqg4nqkxc9p0eff9ztnca,492996,1191918,,,,
Maarten,Vandevoordt,M. Vandevoordt,Belgium,4wbzjcclyefma1ourvjsu4q2j,Goalkeeper,player,2/26/2002,Belgium,4wbzjcclyefma1ourvjsu4q2j,26,active,yes,jflu7a5n4f3ezoj20z0kje5m,248866,1116401,Sint-Truiden,188,right,79
Jovan,Stojanović,J. Stojanović,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Attacker,player,4/21/1992,Serbia,5w4ve503bjdsshwx9ho6jxzx0,11,active,no,14d4d3eeq7s4cscn0lz3vtjv9,112791,585629,Beograd,191,,76
Christophe,Lepoint,C. Lepoint,Belgium,4wbzjcclyefma1ourvjsu4q2j,Midfielder,player,10/24/1984,Belgium,4wbzjcclyefma1ourvjsu4q2j,54,active,yes,1acbm9228tfggjx7htxjtcvrp,17122,370702,Uccle,189,right,84
Gaëtan,Hendrickx,G. Hendrickx,Belgium,4wbzjcclyefma1ourvjsu4q2j,Midfielder,player,3/30/1995,Belgium,4wbzjcclyefma1ourvjsu4q2j,22,active,no,1dpz2wyzessv6nm7ljivmd3h1,212648,880771,Braine-l'Alleud,175,right,64
Ante,Palaversa,A. Palaversa,Croatia,37hlakrwxyuzovaeoo4sezusp,Midfielder,player,4/6/2000,Croatia,37hlakrwxyuzovaeoo4sezusp,8,active,yes,1jbm4rhckr1gmwld08ey819m,240995,968672,Split,187,right,77
Brice,Verkerken,B. Verkerken,Belgium,4wbzjcclyefma1ourvjsu4q2j,Midfielder,player,3/21/2001,Belgium,4wbzjcclyefma1ourvjsu4q2j,,active,yes,1qjrycko3sl78ub4j528dnqei,500934,1207487,,,,
